0
199m 54s (- -200m 8s) 4000 0.3737 32
200m 21s (- -201m 40s) 5000 0.3259 32
200m 49s (- -201m 12s) 6000 0.3576 32
201m 16s (- -202m 45s) 7000 0.3300 32
201m 45s (- -202m 15s) 8000 0.3489 32
202m 13s (- -203m 47s) 9000 0.3193 32
202m 39s (- -203m 21s) 10000 0.3597 32
203m 6s (- -204m 54s) 11000 0.3278 32
203m 33s (- -204m 27s) 12000 0.3176 32

0.0009,0.4791
(0.3364352183249821, 0.05188679245283019)
33
204m 10s (- -204m 2s) 1000 0.3895 33
204m 37s (- -205m 28s) 2000 0.3378 33
205m 3s (- -205m 0s) 3000 0.2936 33
205m 30s (- -206m 33s) 4000 0.3449 33
205m 56s (- -206m 5s) 5000 0.3137 33
206m 24s (- -207m 37s) 6000 0.3411 33
206m 53s (- -207m 7s) 7000 0.3200 33
207m 21s (- -208m 40s) 8000 0.3218 33
207m 49s (- -208m 12s) 9000 0.2916 33
208m 15s (- -209m 45s) 10000 0.3335 33
208m 42s (- -209m 18s) 11000 0.3107 33
209m 9s (- -210m 51s) 12000 0.3065 33
0.0009,0.4968
(0.3299928418038654, 0.04481132075471698)
34
209m 46s (- -210m 26s) 1000 0.3595 34
210m 13s (- -211m 52s) 2000 0.3173 34
210m 39s (- -211m 24s) 3000 0.2833 34
211m 6s (- -212m 56s) 4000 0.3435 34
211m 33s (- -212m 29s) 5000 0.3097 34
212m 4s (- -213m 58s) 6000 0.3371 34
212m 30s (- -213m 31s) 7000 0.3121 34
212m 58s (- -213m 3s) 8000 0.3097 34
213m 25s (- -214m 36s) 9000 0.2872 34
213m 51s (- -214m 9s) 10000 0.3302 34
214m 18s (- -215m 43s) 11000 0.3044 34
214m 44s (- -215m 16s) 12000 0.2942 34
0.0008,0.3922
(0.33929849677881174, 0.049528301886792456)
35
215m 21s (- -216m 51s) 1000 0.3478 35
215m 48s (- -216m 17s) 2000 0.3119 35
216m 15s (- -217m 48s) 3000 0.2722 35
216m 42s (- -217m 20s) 4000 0.3233 35
217m 12s (- -218m 50s) 5000 0.2934 35
217m 39s (- -218m 22s) 6000 0.3259 35
218m 5s (- -219m 56s) 7000 0.3022 35
218m 33s (- -219m 28s) 8000 0.2947 35
219m 0s (- -219m 0s) 9000 0.2806 35
219m 27s (- -220m 34s) 10000 0.3254 35
219m 54s (- -220m 7s) 11000 0.2954 35
220m 21s (- -221m 39s) 12000 0.2848 35
0.0008,0.3998
(0.3500357909806729, 0.049528301886792456)
36
220m 58s (- -221m 15s) 1000 0.3376 36
221m 25s (- -222m 41s) 2000 0.3109 36
221m 52s (- -222m 12s) 3000 0.2648 36
222m 22s (- -223m 41s) 4000 0.3125 36
222m 48s (- -223m 13s) 5000 0.2875 36
223m 16s (- -224m 46s) 6000 0.3195 36
223m 42s (- -224m 19s) 7000 0.3075 36
224m 9s (- -225m 52s) 8000 0.3112 36
224m 36s (- -225m 25s) 9000 0.2786 36
225m 2s (- -226m 58s) 10000 0.3168 36
225m 29s (- -226m 32s) 11000 0.2918 36
225m 55s (- -226m 5s) 12000 0.2839 36
0.0007,0.3320
(0.3457408732999284, 0.05188679245283019)
37
226m 32s (- -227m 40s) 1000 0.3332 37
226m 59s (- -227m 6s) 2000 0.2985 37
227m 29s (- -228m 34s) 3000 0.2587 37
227m 56s (- -228m 7s) 4000 0.3070 37
228m 22s (- -229m 39s) 5000 0.2828 37
228m 50s (- -229m 12s) 6000 0.3111 37
229m 16s (- -230m 45s) 7000 0.2845 37
229m 43s (- -230m 18s) 8000 0.2869 37
230m 10s (- -231m 51s) 9000 0.2637 37
230m 36s (- -231m 25s) 10000 0.3052 37
231m 3s (- -232m 58s) 11000 0.2791 37
231m 29s (- -232m 31s) 12000 0.2681 37
0.0007,0.4003
(0.3550465282748747, 0.054245283018867926)
38
232m 7s (- -232m 6s) 1000 0.3238 38
232m 37s (- -233m 29s) 2000 0.2894 38
233m 4s (- -233m 0s) 3000 0.2555 38
233m 31s (- -234m 32s) 4000 0.2978 38
233m 57s (- -234m 4s) 5000 0.2690 38
234m 25s (- -235m 37s) 6000 0.2997 38
234m 51s (- -235m 10s) 7000 0.2782 38
235m 18s (- -236m 43s) 8000 0.2712 38
235m 45s (- -236m 15s) 9000 0.2616 38
236m 11s (- -237m 49s) 10000 0.2984 38
236m 38s (- -237m 23s) 11000 0.2758 38
237m 5s (- -238m 55s) 12000 0.2651 38
0.0008,0.4723
(0.3478883321403006, 0.054245283018867926)
39
237m 45s (- -238m 28s) 1000 0.3141 39
238m 12s (- -239m 54s) 2000 0.2809 39
238m 38s (- -239m 26s) 3000 0.2471 39
239m 5s (- -240m 58s) 4000 0.2895 39
239m 31s (- -240m 30s) 5000 0.2697 39
239m 59s (- -240m 3s) 6000 0.2959 39
240m 25s (- -241m 36s) 7000 0.3029 39
240m 52s (- -241m 9s) 8000 0.2796 39
241m 19s (- -242m 42s) 9000 0.2596 39
241m 45s (- -242m 16s) 10000 0.2946 39
242m 12s (- -243m 49s) 11000 0.2656 39
242m 40s (- -243m 21s) 12000 0.2624 39
0.0007,0.3829
(0.36363636363636365, 0.06839622641509434)
40
243m 18s (- -244m 55s) 1000 0.3090 40
243m 45s (- -244m 21s) 2000 0.2828 40
244m 11s (- -245m 52s) 3000 0.2434 40
244m 38s (- -245m 25s) 4000 0.2902 40
245m 5s (- -246m 57s) 5000 0.2654 40
245m 32s (- -246m 30s) 6000 0.2893 40
245m 58s (- -246m 3s) 7000 0.2676 40
246m 25s (- -247m 36s) 8000 0.2598 40
246m 53s (- -247m 8s) 9000 0.2489 40
247m 19s (- -248m 42s) 10000 0.2834 40
247m 47s (- -248m 14s) 11000 0.2614 40
248m 16s (- -249m 45s) 12000 0.2487 40
0.0006,0.3576
(0.35790980672870437, 0.04245283018867924)
41
248m 53s (- -249m 21s) 1000 0.2957 41
249m 20s (- -250m 47s) 2000 0.2728 41
249m 46s (- -250m 18s) 3000 0.2606 41
250m 13s (- -251m 50s) 4000 0.2840 41
250m 40s (- -251m 22s) 5000 0.2611 41
251m 7s (- -252m 55s) 6000 0.2852 41
251m 33s (- -252m 28s) 7000 0.2591 41
252m 1s (- -252m 0s) 8000 0.2552 41
252m 28s (- -253m 33s) 9000 0.2419 41
252m 55s (- -253m 6s) 10000 0.2771 41
253m 24s (- -254m 37s) 11000 0.2588 41
253m 51s (- -254m 10s) 12000 0.2437 41
0.0007,0.4003
(0.36363636363636365, 0.0660377358490566)
42
